company_id,type,rule_id,text,confidence_pct
ABB,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
ABB,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
ABB,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ABB,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ABB,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
ABB,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ABB,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ABB,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ABB,con,0,Insufficient historical data to identify specific risk factors at this time,60
ADANIENSOL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
ADANIENSOL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
ADANIENSOL,con,1,Debt-to-equity ratio of 2.9 is elevated for a non-financial company and warrants monitoring,69
ADANIENSOL,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
ADANIENT,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
ADANIENT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ADANIENT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,97
ADANIENT,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,0,Insufficient historical data to identify specific risk factors at this time,60
ADANIGREEN,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100
ADANIGREEN,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIGREEN,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ADANIGREEN,con,1,Debt-to-equity ratio of 6.6 is elevated for a non-financial company and warrants monitoring,87
ADANIPORTS,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
ADANIPORTS,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,98
ADANIPORTS,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ADANIPORTS,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPORTS,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
ADANIPOWER,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
ADANIPOWER,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ADANIPOWER,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67
ADANIPOWER,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,76
ADANIPOWER,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ADANIPOWER,con,0,Insufficient historical data to identify specific risk factors at this time,60
AMBUJACEM,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
AMBUJACEM,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
AMBUJACEM,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AMBUJACEM,con,12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68
APOLLOHOSP,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,76
APOLLOHOSP,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,97
APOLLOHOSP,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
APOLLOHOSP,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93
APOLLOHOSP,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
APOLLOHOSP,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
ASIANPAINT,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
ASIANPAINT,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
ASIANPAINT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,65
ASIANPAINT,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ASIANPAINT,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ASIANPAINT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
ASIANPAINT,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ASIANPAINT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ASIANPAINT,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
ATGL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
ATGL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
ATGL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ATGL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
ATGL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ATGL,con,0,Insufficient historical data to identify specific risk factors at this time,60
AXISBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
AXISBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
AXISBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
AXISBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AXISBANK,con,0,Insufficient historical data to identify specific risk factors at this time,60
BAJAJ-AUTO,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
BAJAJ-AUTO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,76
BAJAJ-AUTO,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
BAJAJ-AUTO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJ-AUTO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BAJAJ-AUTO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJ-AUTO,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
BAJAJFINSV,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75
BAJAJFINSV,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
BAJAJFINSV,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,77
BAJAJFINSV,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
BAJAJFINSV,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
BAJAJFINSV,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
